iter	Passed	Remaining
0	0	64
1	1	68
2	2	66
3	2	60
4	3	60
5	3	58
6	4	57
7	4	56
8	5	56
9	6	56
10	6	55
11	7	54
12	8	53
13	8	53
14	9	53
15	10	52
16	10	52
17	11	51
18	11	51
19	12	50
20	13	49
21	13	48
22	14	48
23	15	48
24	16	48
25	16	47
26	17	47
27	18	46
28	19	46
29	19	46
30	20	45
31	21	45
32	22	45
33	23	44
34	24	44
35	24	44
36	25	43
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	30	39
43	30	39
44	31	38
45	32	38
46	33	37
47	34	37
48	34	36
49	35	35
50	36	35
51	37	34
52	38	33
53	38	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	21
71	52	20
72	52	19
73	53	18
74	54	18
75	55	17
76	55	16
77	56	16
78	57	15
79	58	14
80	59	13
81	59	13
82	60	12
83	61	11
84	61	10
85	62	10
86	63	9
87	63	8
88	64	7
89	65	7
90	65	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
