iter	Passed	Remaining
0	0	610
1	1	563
2	1	532
3	2	522
4	2	525
5	3	518
6	3	511
7	4	513
8	4	518
9	5	517
10	5	514
11	6	511
12	6	515
13	7	515
14	7	520
15	8	523
16	8	520
17	9	520
18	10	521
19	10	522
20	11	520
21	11	521
22	12	519
23	12	518
24	13	519
25	13	516
26	14	513
27	14	511
28	15	509
29	15	506
30	16	504
31	16	506
32	17	504
33	17	504
34	18	504
35	18	505
36	19	505
37	19	506
38	20	505
39	21	504
40	21	504
41	22	502
42	22	500
43	23	500
44	23	501
45	24	500
46	24	499
47	25	499
48	25	499
49	26	499
50	26	499
51	27	499
52	27	498
53	28	496
54	28	496
55	29	497
56	30	496
57	30	495
58	30	494
59	31	494
60	32	493
61	32	493
62	33	493
63	33	492
64	34	492
65	34	491
66	35	490
67	35	489
68	36	489
69	36	488
70	37	488
71	37	488
72	38	486
73	38	485
74	39	488
75	40	488
76	40	488
77	41	486
78	41	486
79	42	486
80	42	485
81	43	485
82	43	482
83	44	481
84	44	480
85	45	480
86	45	480
87	46	480
88	46	480
89	47	479
90	47	478
91	48	478
92	49	478
93	49	477
94	50	476
95	50	477
96	51	476
97	51	475
98	52	475
99	52	474
100	53	474
101	53	474
102	54	473
103	54	473
104	55	472
105	55	471
106	56	471
107	57	471
108	57	470
109	58	469
110	58	469
111	59	468
112	59	468
113	60	468
114	60	467
115	61	467
116	61	465
117	62	465
118	62	464
119	63	464
120	63	464
121	64	462
122	64	462
123	65	462
124	65	461
125	66	461
126	67	460
127	67	460
128	68	460
129	68	459
130	69	459
131	69	458
132	70	457
133	70	456
134	71	456
135	71	455
136	72	455
137	72	454
138	73	454
139	73	454
140	74	453
141	74	452
142	75	452
143	75	451
144	76	451
145	77	450
146	77	450
147	78	449
148	78	450
149	79	450
150	80	450
151	80	449
152	81	448
153	81	448
154	82	447
155	82	447
156	83	447
157	83	446
158	84	446
159	84	445
160	85	444
161	85	443
162	86	442
163	86	442
164	87	441
165	87	441
166	88	440
167	88	439
168	89	438
169	89	438
170	90	438
171	90	437
172	91	436
173	91	435
174	92	434
175	92	434
176	93	433
177	93	433
178	94	432
179	94	431
180	95	431
181	95	430
182	96	430
183	96	429
184	97	429
185	97	428
186	98	428
187	99	427
188	99	427
189	100	426
190	100	426
191	101	425
192	101	425
193	102	424
194	102	423
195	103	422
196	103	422
197	104	421
198	104	420
199	105	420
200	105	419
201	105	418
202	106	417
203	106	416
204	107	416
205	107	415
206	108	414
207	108	414
208	109	413
209	109	412
210	110	412
211	110	411
212	111	410
213	111	410
214	112	409
215	112	408
216	113	407
217	113	407
218	113	406
219	114	405
220	114	405
221	115	404
222	115	403
223	116	403
224	116	402
225	117	401
226	117	400
227	118	400
228	118	399
229	119	398
230	119	398
231	120	398
232	120	398
233	121	397
234	122	397
235	122	397
236	123	396
237	123	396
238	124	395
239	124	394
240	125	394
241	125	393
242	126	392
243	126	392
244	127	391
245	127	390
246	127	390
247	128	389
248	128	388
249	129	387
250	129	387
251	130	386
252	130	386
253	131	385
254	131	384
255	132	384
256	132	383
257	133	382
258	133	382
259	134	381
260	134	380
261	134	380
262	135	379
263	135	378
264	136	379
265	137	378
266	137	378
267	138	377
268	138	377
269	139	376
270	139	375
271	140	375
272	140	374
273	141	374
274	141	373
275	142	373
276	142	372
277	143	371
278	143	371
279	144	370
280	144	370
281	145	369
282	145	369
283	146	368
284	146	367
285	147	367
286	147	366
287	147	365
288	148	365
289	149	364
290	149	364
291	150	363
292	150	363
293	151	362
294	151	362
295	152	362
296	152	361
297	153	361
298	153	360
299	154	360
300	154	359
301	155	359
302	156	359
303	156	358
304	157	357
305	157	357
306	158	356
307	158	356
308	158	355
309	159	354
310	159	354
311	160	353
312	160	352
313	161	352
314	161	351
315	162	351
316	162	350
317	163	350
318	163	349
319	164	349
320	164	348
321	165	347
322	165	347
323	166	346
324	166	345
325	167	345
326	167	344
327	167	344
328	168	343
329	168	342
330	169	342
331	169	341
332	170	341
333	170	340
334	171	339
335	171	339
336	172	338
337	172	338
338	173	337
339	173	336
340	174	336
341	174	335
342	174	335
343	175	334
344	175	334
345	176	333
346	176	332
347	177	332
348	177	331
349	178	330
350	178	330
351	179	329
352	179	329
353	180	328
354	180	328
355	181	327
356	181	327
357	182	326
358	182	326
359	183	325
360	183	325
361	184	324
362	184	323
363	185	323
364	185	322
365	186	322
366	186	321
367	186	321
368	187	320
369	187	319
370	188	319
371	188	318
372	189	318
373	189	317
374	190	317
375	190	316
376	191	316
377	191	315
378	192	315
379	192	314
380	193	313
381	193	313
382	194	312
383	194	312
384	195	311
385	195	311
386	196	310
387	196	310
388	197	309
389	197	309
390	198	308
391	198	307
392	199	307
393	199	306
394	199	306
395	200	305
396	200	304
397	201	304
398	201	303
399	202	303
400	202	302
401	203	302
402	203	301
403	204	301
404	204	300
405	205	300
406	205	299
407	206	299
408	206	298
409	207	298
410	207	297
411	208	296
412	208	296
413	209	295
414	209	295
415	209	294
416	210	294
417	210	293
418	211	293
419	211	292
420	212	292
421	212	291
422	213	291
423	213	290
424	214	290
425	214	289
426	215	288
427	215	288
428	216	287
429	216	287
430	217	286
431	217	286
432	218	285
433	218	285
434	219	284
435	219	284
436	220	283
437	220	283
438	221	282
439	221	282
440	222	281
441	222	281
442	223	280
443	223	280
444	224	279
445	224	279
446	225	278
447	225	277
448	226	277
449	226	276
450	226	276
451	227	275
452	227	275
453	228	274
454	228	274
455	229	273
456	229	273
457	230	272
458	230	272
459	231	271
460	231	271
461	232	270
462	232	270
463	233	269
464	233	269
465	234	268
466	234	268
467	235	267
468	235	266
469	236	266
470	236	265
471	237	265
472	237	264
473	238	264
474	238	263
475	239	263
476	239	262
477	239	262
478	240	261
479	240	260
480	241	260
481	241	259
482	242	259
483	242	258
484	243	258
485	243	257
486	244	257
487	244	256
488	245	256
489	245	255
490	246	255
491	246	254
492	247	254
493	247	253
494	247	252
495	248	252
496	248	251
497	249	251
498	250	251
499	250	250
500	251	250
501	251	249
502	251	248
503	252	248
504	252	247
505	253	247
506	253	246
507	254	246
508	254	245
509	255	245
510	255	244
511	256	244
512	256	243
513	257	243
514	257	242
515	258	242
516	258	241
517	259	241
518	259	240
519	260	240
520	260	239
521	261	239
522	261	238
523	262	238
524	262	237
525	263	237
526	263	236
527	264	236
528	264	235
529	265	235
530	265	234
531	266	234
532	266	233
533	267	233
534	267	232
535	267	231
536	268	231
537	268	230
538	269	230
539	269	229
540	270	229
541	270	228
542	271	228
543	271	227
544	272	227
545	272	226
546	273	226
547	273	225
548	274	225
549	274	224
550	275	224
551	275	223
552	275	223
553	276	222
554	277	222
555	277	221
556	278	221
557	278	220
558	279	220
559	279	219
560	280	219
561	280	218
562	281	218
563	281	217
564	282	217
565	282	216
566	283	216
567	283	215
568	284	215
569	284	214
570	285	214
571	285	213
572	286	213
573	286	212
574	287	212
575	287	211
576	288	211
